openerName,Execution_string,Run_in_Terminal,Directory
RECON - Nmap - 100 ports [Report],nmap  ${fetcher.ip} --top-ports=100 --reason -A -sT --stats-every=5s -oX ~/Documents/nmap_100_port_scan.xml && xsltproc ~/Documents/nmap_100_port_scan.xml -o ~/Documents/nmap_100_port_scan.html && firefox  ~/Documents/nmap_100_port_scan.html,TRUE,
RECON - Nmap - all ports [Report],nmap  ${fetcher.ip} -p- --reason -A -sT --stats-every=5s -oX nmap_scan.xml && xsltproc nmap_scan.xml -o nmap_scan.html && firefox nmap_scan.html,TRUE,
RECON - Ping,ping ${fetcher.ip},TRUE,
RECON - Trace route,tracepath ${fetcher.ip},TRUE,
RECON - Whois,whois ${fetcher.ip},TRUE,
RECON - Geo locate,https://angryip.org/iplocate?ip=${fetcher.ip},TRUE,
21_FTP - FTP,ftp://${fetcher.hostname}/,TRUE,
22_SSH - SSH,ssh ${fetcher.ip},TRUE,
22_SSH - hydra SSH,wordlist_dir=~/Tools/Wordlists/wordlists-main/directory_scanner && hydra -L ~/Tools/Wordlists/wordlists-main/directory_scanner/usernames/unix_users.txt -P ~/Tools/Wordlists/wordlists-main/directory_scanner/passwords/unix_passwords.txt -t 4 -I ${fetcher.ip} -v ssh,TRUE,
23_Telnet - Telnet,telnet ${fetcher.ip},TRUE,
80_HTTP - Firefox [hostname],firefox http://${fetcher.hostname}/,FALSE,
80_HTTP - Firefox [ip],firefox http://${fetcher.ip}/,FALSE,
80_HTTP - gobuster [COMMON],gobuster dir -w ~/Tools/Wordlists/wordlists-main/directory_scanner/common.txt -u http://${fetcher.ip},TRUE,
80_HTTP - gobuster [BIG],gobuster dir -w ~/Documents/wordlists-main/directory_scanner/big.txt -u http://${fetcher.ip},TRUE,
80_HTTP - hydra [weblogin],"word_dir=""$HOME/Tools/Wordlists/wordlists-main"" && hydra -L “${word_dir}/usernames/http_default_users.txt” -P “${word_dir}/passwords/http_default_passwords.txt” -m / ${fetcher.ip} http-post-form “/:user=^USER&pass=^PASS^::incorrect”",TRUE,
443_HTTPS - Firefox [hostname],firefox https://${fetcher.hostname}/,FALSE,
443_HTTPS - Firefox [ip],firefox https://${fetcher.ip}/,FALSE,
TEST,"output_dir=""~/Documents/scan_results/${fetcher.ip}"" && mkdir -p $output_dir",TRUE,
MISC - Append [etc/hosts],echo “${fetcher.ip} ${fetcher.comment}” | sudo tee -a /etc/hosts && sudo nano /etc/hosts,TRUE,
